folder1,folder2,alpha_mean,alpha_std,beta_mean,beta_std
bouncing_ball,mousepad,0.5328138035173163,0.2895674528548315,0.5572102188362713,0.2347035483539134
bouncing_ball,table,0.4218915083895441,0.2401181783888791,0.3055546201103554,0.1829370828541451
bouncing_ball,tennis,0.5731106065390599,0.3161165122073796,0.3121229279095873,0.2923235739415995
led,led_10s,0.4177446818071675,0.23093170640642566,0.45574113704836366,0.28344898628109255
led,led_2s,0.5200681596536751,0.29843801284055677,0.45754552047571256,0.34738576187736153
led,led_5s,0.41744888638529376,0.2400446772870972,0.5087327674332747,0.2689668189371036
pendulum,pendulum_150,0.4262151916002628,0.35799569633199313,0.5620349296572501,0.29500959265663784
pendulum,pendulum_45,0.6632808619949482,0.2830650970724446,0.6532435400516606,0.2846629725691346
pendulum,pendulum_90,0.5642787567994758,0.3033222147993115,0.42382054165850425,0.2863699662689886
sliding_block,high,0.4043078851221894,0.2770390035926049,0.572599316419598,0.34394505477873316
sliding_block,low,0.5611510184302893,0.28976916918252693,0.5235584877373766,0.2417213597436233
sliding_block,mid,0.6028872822789859,0.32242212851873964,0.5527315275992002,0.3181966415671147
